SCHEME START,SCHEME END,PRODUCT,DAYS  OF DISCOUNT,DISCOUNT (%),PROD A,PROD B,PROD C,PROD D,PROD E,AHMEDABAD,AMBALA,BANGALORE,CHANDIGARH,CHENNAI,DEHRADUN,DELHI,GHAZIABAD,HYDERABAD,KANPUR,KOCHI,KOLKATA,MUMBAI,PARWANOO,ZIRAKHPUR
25-04-2005,25-05-2005,PROD A,30,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-04-2005,20-05-2005,PROD A,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-05-2005,05-05-2005,PROD A,1,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
06-05-2005,30-06-2005,PROD A,55,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
09-05-2005,30-09-2005,PROD A,144,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-05-2005,31-10-2005,PROD D,174,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-05-2005,31-12-2005,PROD A,233,4,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17-05-2005,16-08-2005,PROD B,91,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-05-2005,31-03-2006,PROD A,314,3.75,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25-05-2005,31-07-2005,PROD C,67,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-05-2005,30-06-2005,PROD C,36,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
27-05-2005,30-06-2005,PROD D,34,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-05-2005,30-06-2005,PROD C,33,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20-06-2005,20-07-2005,PROD D,30,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-06-2005,20-07-2005,PROD D,30,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23-06-2005,30-06-2005,PROD A,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-07-2005,03-07-2005,PROD C,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-07-2005,03-07-2005,PROD C,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-07-2005,03-07-2005,PROD D,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-07-2005,03-07-2005,PROD D,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-07-2005,09-01-2006,PROD D,182,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-07-2005,09-01-2006,PROD D,182,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11-07-2005,16-10-2006,PROD C,462,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11-07-2005,09-01-2006,PROD C,182,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11-07-2005,17-08-2006,PROD C,402,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
11-07-2005,17-08-2006,PROD C,402,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-07-2005,17-08-2006,PROD C,402,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11-07-2005,05-08-2006,PROD C,390,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11-07-2005,22-12-2006,PROD B,529,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11-07-2005,13-12-2006,PROD B,520,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11-07-2005,15-11-2006,PROD B,492,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11-07-2005,10-10-2006,PROD B,456,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11-07-2005,27-09-2006,PROD B,443,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11-07-2005,17-08-2006,PROD C,402,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
